longitude,latitude
-73.9185,40.6659
-73.9194,40.6658
-73.9204,40.6656
-73.9214,40.6655
-73.9223,40.6653
-73.9229,40.665
-73.9237,40.6644
-73.9245,40.6639
-73.9254,40.6633
-73.9261,40.6628
-73.9269,40.6624
-73.9276,40.6619
-73.9283,40.6614
-73.9288,40.6607
-73.9291,40.6584
-73.9301,40.6584
-73.9311,40.6583
-73.9321,40.6582
-73.934,40.6581
-73.935,40.6581
-73.9359,40.658
-73.9369,40.6579
-73.9396,40.6578
-73.9423,40.6576
-73.9451,40.6574
-73.9474,40.6573
-73.9502,40.6571
-73.9531,40.6569
-73.9565,40.6567
-73.9601,40.6565
-73.9599,40.6557
-73.9607,40.6553
-73.9619,40.6549
-73.9632,40.6543
-73.9641,40.654
-73.9662,40.6532
-73.9712,40.6512
-73.9724,40.6507
-73.9745,40.6502
-73.9753,40.6498
-73.9757,40.6496
-73.9766,40.6492
-73.9775,40.6488
-73.9784,40.6485
-73.9792,40.6481
-73.9804,40.6477
-73.9823,40.6469
-73.9831,40.6466
-73.9853,40.6458
-73.9883,40.6446
-73.9891,40.6441
-73.9898,40.6436
-73.9905,40.6432
-73.9912,40.6427
-73.9919,40.6422
-73.9926,40.6417
-73.9934,40.6412
-73.9943,40.6406
-73.9948,40.6403
-73.9955,40.6398
-73.9962,40.6393
-73.9969,40.6389
-73.9977,40.6384
-73.9984,40.6379
-73.9991,40.6374
-73.9998,40.6369
-74.0005,40.6365
-74.0012,40.636
-74.002,40.6355
-74.0027,40.635
-74.0034,40.6345
-74.0041,40.6341
-74.0046,40.6334
-74.0056,40.6331
-74.0063,40.6326
-74.007,40.6321
-74.0077,40.6316
-74.0085,40.6311
-74.0092,40.6306
-74.01,40.6301
-74.0107,40.6296
-74.0114,40.6292
-74.0121,40.6287
-74.0129,40.6282
-74.0136,40.6277
-74.0143,40.6272
-74.015,40.6268
-74.0157,40.6263
-74.0165,40.6258
-74.0173,40.6253
-74.018,40.6248
-74.0187,40.6243
-74.0199,40.6243
-74.0206,40.6237
-74.0218,40.6244
-74.0242,40.6258
-74.0266,40.6272
-74.0293,40.6278
-74.032,40.6285
-74.0346,40.6291
-74.0373,40.6297
-74.0381,40.6303
-74.0384,40.6297
-74.0386,40.6291
